Año,id Num,ESTU_DEPTO_PRESENTACION,Puntaje,Frec Biologia,Frec Matematicas,Frec Fisica,Frec Lenguaje
2005,05,ANTIOQUIA,97,,,,
2005,05,ANTIOQUIA,98,,,,
2005,05,ANTIOQUIA,99,,1,,
2005,05,ANTIOQUIA,100,,,,
2005,08,ATLANTICO,,,,,
2005,08,ATLANTICO,-1,,,1,
2005,08,ATLANTICO,0,21,21,25,5
2005,08,ATLANTICO,1,,,,
2005,08,ATLANTICO,2,,,,
2005,08,ATLANTICO,3,,,,
2005,08,ATLANTICO,4,,,,
2005,08,ATLANTICO,5,,,,
2005,08,ATLANTICO,6,,,,
2005,08,ATLANTICO,7,,,,
2005,08,ATLANTICO,8,,,,
2005,08,ATLANTICO,9,,,,12
2005,08,ATLANTICO,10,,,,
2005,08,ATLANTICO,11,,,,
2005,08,ATLANTICO,12,,1,,
2005,08,ATLANTICO,13,,,,
2005,08,ATLANTICO,14,,,,
2005,08,ATLANTICO,15,,,,
2005,08,ATLANTICO,16,,192,2,
2005,08,ATLANTICO,17,2,,,66
2005,08,ATLANTICO,18,,,,
2005,08,ATLANTICO,19,,,186,
2005,08,ATLANTICO,20,,,,
2005,08,ATLANTICO,21,1,,,
2005,08,ATLANTICO,22,114,4,,208
2005,08,ATLANTICO,23,,,,
2005,08,ATLANTICO,24,,,,
2005,08,ATLANTICO,25,,,,
2005,08,ATLANTICO,26,,681,8,422
2005,08,ATLANTICO,27,,,,
2005,08,ATLANTICO,28,,,711,
2005,08,ATLANTICO,29,3,4,,853
2005,08,ATLANTICO,30,475,,,
2005,08,ATLANTICO,31,,,,
2005,08,ATLANTICO,32,,1677,6,1198
2005,08,ATLANTICO,33,7,,,
2005,08,ATLANTICO,34,1216,17,1856,
2005,08,ATLANTICO,35,,,,1685
